Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
6034,45,Female,Married,IT,Assistant,5,19017,70,9,5,6,4,2,3,67,No,3,48,5,4,3,1,15,3,No
583,50,Female,Single,HR,Analyst,4,8801,27,22,4,9,2,2,1,5,No,9,49,18,3,4,1,11,2,Yes
9931,49,Female,Married,Sales,Analyst,1,14144,23,5,2,7,3,5,4,83,No,2,53,7,4,2,1,27,2,No
7052,20,Female,Divorced,Marketing,Manager,2,14925,65,28,2,6,4,4,4,72,No,3,48,7,2,3,2,30,4,No
8159,20,Male,Single,Finance,Manager,3,13482,91,15,9,4,1,4,1,63,Yes,6,39,4,1,4,1,5,1,No
9897,42,Male,Single,Finance,Analyst,3,3355,34,16,3,2,2,1,4,22,No,7,56,3,2,1,3,29,3,No
2250,42,Male,Single,Marketing,Analyst,3,14667,62,9,2,2,3,5,2,85,No,8,55,4,3,2,3,41,1,No
4641,22,Male,Single,Marketing,Executive,5,10918,22,3,9,7,3,5,1,99,No,6,37,9,3,4,3,42,3,No
9486,37,Male,Married,IT,Executive,4,10966,79,28,11,7,4,3,2,98,Yes,3,43,14,4,2,2,48,1,No
4948,56,Male,Divorced,Finance,Assistant,4,14140,77,5,9,5,3,3,1,91,No,2,44,4,3,3,2,31,3,Yes
9921,38,Male,Divorced,Sales,Manager,5,19551,57,1,11,8,1,1,4,31,No,9,58,11,3,1,2,35,1,No
1964,40,Male,Married,Marketing,Assistant,4,9110,97,4,3,5,3,3,4,16,No,6,36,9,2,1,1,36,2,No
8244,25,Female,Married,HR,Manager,3,11411,20,7,10,0,2,2,4,23,Yes,7,32,19,3,3,2,15,2,No
6591,35,Male,Single,Sales,Manager,2,18776,72,16,12,5,2,5,3,46,No,7,56,13,2,1,4,23,1,No
8848,23,Male,Divorced,IT,Manager,2,12175,29,29,5,7,2,1,4,90,Yes,4,43,4,2,4,4,19,4,No
322,36,Male,Single,HR,Manager,3,14462,33,4,4,9,1,2,4,48,Yes,6,43,17,2,4,1,46,3,No
2679,39,Female,Single,Sales,Analyst,4,6184,58,18,1,1,1,5,1,26,No,6,48,12,2,4,4,34,2,No
4626,31,Male,Divorced,IT,Manager,4,4496,76,10,2,9,4,1,3,90,Yes,8,45,10,2,4,2,34,3,No
4950,22,Male,Single,HR,Executive,2,7714,91,29,3,0,2,5,1,73,No,5,47,19,2,1,1,21,2,No
8329,55,Female,Divorced,Marketing,Executive,3,3767,50,8,5,6,4,4,1,80,No,3,50,5,2,3,1,29,3,No
3338,43,Female,Married,Finance,Analyst,4,8932,63,22,1,9,2,4,2,73,Yes,4,51,4,4,3,4,3,1,No
5590,59,Male,Divorced,Sales,Executive,2,16038,54,29,1,3,1,3,3,2,No,3,47,10,3,2,1,49,1,No
252,44,Female,Married,HR,Analyst,3,14575,73,4,8,6,2,5,1,97,Yes,8,30,10,2,3,3,2,2,No
3974,31,Female,Divorced,Sales,Analyst,5,5369,19,10,4,6,3,3,4,12,No,6,52,12,2,3,4,38,4,No
6631,38,Male,Married,IT,Analyst,4,16750,18,24,6,0,3,3,1,89,No,4,33,0,2,1,1,3,4,No
5548,42,Female,Married,Marketing,Assistant,4,15302,94,3,11,5,1,3,2,76,No,5,36,16,4,2,3,9,4,Yes
36,58,Male,Married,Sales,Manager,4,5010,63,13,6,2,1,4,3,2,No,3,50,11,4,2,2,31,1,No
8363,36,Male,Divorced,Finance,Assistant,2,5404,60,5,4,7,4,2,4,15,No,2,53,3,3,3,2,6,3,No
1514,30,Female,Married,Finance,Executive,5,13499,69,13,7,5,4,3,1,85,Yes,6,37,6,1,2,4,38,3,No
9318,41,Female,Single,Finance,Executive,1,7270,23,12,7,2,3,2,2,72,Yes,1,52,3,2,1,4,34,2,No
40,33,Male,Married,HR,Assistant,3,19752,89,14,12,7,2,1,3,8,No,6,54,7,1,4,2,18,4,No
4820,21,Male,Divorced,Finance,Assistant,4,5856,57,12,1,8,1,3,3,42,Yes,7,49,18,2,2,1,27,4,No
3466,40,Female,Married,Finance,Analyst,1,3339,83,11,4,9,1,4,2,97,No,6,34,8,3,3,4,5,4,No
1761,28,Female,Divorced,Finance,Assistant,3,15912,83,8,10,8,2,1,2,7,Yes,8,50,0,4,1,1,1,2,No
2305,59,Female,Single,Finance,Analyst,5,17491,15,17,6,4,2,3,1,9,No,9,32,3,3,2,3,16,2,Yes
3724,48,Male,Single,HR,Manager,2,4286,60,5,9,0,3,4,2,22,Yes,7,56,15,1,3,1,49,2,No
8285,22,Female,Married,IT,Manager,2,12638,95,14,7,7,1,2,2,90,No,3,36,12,3,3,3,21,2,No
4994,56,Female,Single,Finance,Assistant,3,7258,28,2,12,4,3,2,4,7,Yes,6,44,3,2,4,2,2,1,No
8128,56,Male,Divorced,Finance,Manager,1,7539,77,4,3,2,2,4,2,59,No,8,44,19,1,4,1,29,2,No
3033,56,Female,Single,Marketing,Assistant,3,4200,83,6,10,5,1,2,2,12,Yes,5,47,10,2,1,3,31,1,No
7939,39,Male,Single,IT,Analyst,5,13946,77,26,10,8,2,1,3,82,Yes,8,56,15,2,4,4,9,1,No
3040,28,Female,Single,IT,Executive,4,3687,80,9,14,6,3,5,3,35,Yes,2,40,2,4,2,2,10,1,No
9656,29,Female,Divorced,Marketing,Executive,1,5600,89,28,14,5,3,4,2,53,Yes,6,47,15,4,4,4,36,3,Yes
2546,40,Male,Married,Finance,Analyst,1,6386,56,2,9,2,3,5,3,9,No,2,45,14,2,3,1,8,4,No
2593,26,Male,Married,Finance,Executive,2,17924,90,13,3,1,1,5,4,15,Yes,8,37,1,2,3,2,41,3,No
1189,45,Male,Single,Marketing,Manager,2,19674,36,17,13,9,1,5,3,1,Yes,2,43,10,1,4,3,2,1,No
7967,36,Male,Married,HR,Executive,2,4039,79,11,4,3,1,2,3,58,No,2,36,14,2,3,1,38,3,No
6078,59,Female,Married,Sales,Analyst,3,3677,43,20,2,1,2,3,1,38,No,1,55,18,4,1,1,13,4,No
108,54,Female,Married,Sales,Executive,3,16696,64,7,5,2,3,2,2,52,No,5,34,18,2,4,4,39,3,No
1316,48,Male,Divorced,HR,Analyst,2,5428,58,1,6,8,3,2,2,63,No,6,42,11,4,4,1,40,4,No
8188,55,Male,Single,IT,Analyst,4,6613,97,8,8,0,3,5,3,97,No,5,42,8,2,2,1,36,4,No
2754,46,Male,Divorced,Marketing,Executive,3,10782,92,27,14,7,3,4,1,95,No,7,32,16,2,2,4,28,1,No
9754,46,Male,Divorced,Marketing,Analyst,3,14447,57,29,1,8,3,5,2,72,Yes,8,45,17,4,3,4,18,4,No
6232,31,Male,Single,Sales,Manager,4,6617,60,6,8,3,2,4,2,50,Yes,3,47,19,4,2,2,6,4,Yes
2877,32,Female,Divorced,IT,Analyst,5,17482,71,19,14,6,1,5,1,52,No,4,51,19,1,1,4,24,1,No
5324,55,Female,Divorced,HR,Assistant,5,4850,43,10,7,7,4,3,3,6,Yes,7,52,13,1,3,1,12,3,No
800,38,Male,Married,HR,Assistant,4,6464,67,11,3,2,1,4,3,6,Yes,4,50,7,4,1,3,28,3,No
3571,37,Female,Single,Marketing,Analyst,1,18350,42,17,13,9,3,5,1,36,No,9,45,2,2,1,3,6,1,No
2895,38,Female,Married,Marketing,Executive,3,4677,47,2,12,7,4,4,3,69,Yes,3,51,4,2,1,3,48,1,No
2928,59,Female,Single,Finance,Analyst,2,6876,88,1,9,2,2,1,3,56,No,1,59,17,4,1,4,26,1,Yes
8179,56,Male,Single,Finance,Analyst,3,5402,43,24,11,1,1,3,1,38,No,8,59,14,1,1,3,31,2,No
972,46,Female,Married,Finance,Manager,4,13017,51,15,12,7,3,3,4,69,No,9,52,8,3,3,4,8,2,No
6688,46,Female,Single,IT,Assistant,5,7534,63,27,6,6,3,5,3,30,No,7,58,13,3,4,1,32,1,No
8576,50,Male,Married,HR,Executive,3,9787,25,29,14,9,2,4,3,68,No,7,44,7,3,1,3,44,4,No
2021,42,Male,Single,IT,Executive,4,13645,58,24,12,8,1,3,1,17,Yes,6,37,7,3,3,3,44,4,No
9055,26,Male,Married,HR,Executive,1,14005,72,28,5,6,1,1,2,19,No,1,34,1,2,1,3,49,3,No
953,52,Female,Divorced,HR,Analyst,3,5981,62,13,11,9,1,5,4,25,Yes,3,33,17,2,3,2,25,2,Yes
5360,41,Male,Single,Marketing,Manager,1,16402,54,9,14,8,2,3,1,79,No,7,35,15,3,4,1,22,1,No
3858,41,Male,Single,Finance,Assistant,3,15686,79,8,8,8,4,4,2,61,No,2,51,18,3,4,1,29,4,No
5862,53,Male,Single,Finance,Assistant,1,16583,67,26,2,8,2,1,2,62,Yes,1,37,11,1,4,2,43,3,No
3146,54,Female,Divorced,HR,Executive,4,17937,64,18,7,5,2,5,3,55,No,5,47,14,4,1,3,45,2,No
3306,39,Female,Divorced,Finance,Analyst,5,15277,58,14,12,3,2,3,2,17,Yes,5,37,3,1,4,3,38,4,No
3007,54,Female,Single,HR,Executive,3,19215,51,3,6,1,3,4,1,72,No,9,33,17,1,3,2,21,2,No
9002,38,Male,Married,IT,Manager,3,9947,46,8,1,1,3,5,4,46,Yes,3,51,12,3,1,1,9,4,No
7771,57,Male,Divorced,Sales,Manager,2,10468,93,25,13,6,2,1,3,15,Yes,1,36,5,3,4,2,22,2,No
7439,50,Male,Single,Marketing,Assistant,2,9514,63,11,4,2,2,2,3,45,Yes,4,37,5,1,2,2,35,3,Yes
7943,42,Female,Divorced,IT,Analyst,3,5983,32,19,4,0,2,3,1,63,No,2,34,15,2,1,1,21,1,Yes
9239,33,Female,Divorced,Marketing,Analyst,2,11207,99,13,8,2,1,1,4,20,Yes,4,32,2,3,1,3,3,1,Yes
1057,51,Male,Single,IT,Analyst,5,5294,91,21,1,6,3,4,4,79,Yes,1,43,6,4,1,4,34,3,No
3155,49,Male,Single,Marketing,Assistant,5,18823,84,14,4,5,1,5,4,29,Yes,8,57,15,4,3,2,45,1,No
3788,38,Female,Married,IT,Executive,2,5664,35,20,10,7,4,1,3,94,Yes,1,32,16,2,2,4,13,4,No
9190,35,Female,Single,HR,Executive,5,19348,41,17,14,9,3,2,2,59,No,5,53,2,1,3,1,42,3,No
7826,27,Female,Single,IT,Executive,1,11901,71,21,14,8,3,3,4,83,Yes,1,51,16,1,2,3,6,4,No
7540,52,Male,Married,Marketing,Assistant,2,4600,89,4,4,1,1,1,2,65,No,2,48,1,3,3,3,47,2,Yes
7232,24,Female,Single,HR,Executive,2,16125,38,15,14,7,2,1,4,35,No,9,34,2,2,3,3,41,3,No
765,33,Female,Married,Sales,Manager,3,11383,52,9,4,2,2,5,3,11,No,5,31,10,1,1,1,10,3,No
5020,35,Female,Divorced,Sales,Assistant,5,16360,81,7,8,7,3,4,2,97,Yes,1,55,13,3,2,4,24,2,No
4904,36,Male,Divorced,Sales,Manager,4,17234,81,18,6,3,1,3,3,5,Yes,1,48,16,2,4,3,1,3,No
8094,31,Female,Single,HR,Assistant,4,17241,97,16,3,1,3,3,4,38,No,2,55,19,1,2,3,25,1,No
6844,35,Female,Single,HR,Executive,3,10379,97,11,7,9,2,3,4,26,No,8,53,0,2,2,1,46,2,Yes
2166,42,Female,Married,Sales,Assistant,4,8409,22,20,5,9,1,3,4,78,Yes,5,47,3,2,4,1,22,2,Yes
1863,27,Male,Divorced,Sales,Analyst,3,4140,69,28,5,7,1,2,4,38,No,7,57,18,4,3,4,46,4,No
7851,53,Male,Married,Sales,Analyst,3,12488,46,11,13,7,1,2,1,66,No,2,34,2,1,3,1,35,3,Yes
9124,38,Male,Married,HR,Manager,3,4425,68,8,11,1,2,3,1,1,No,9,58,6,3,1,1,9,3,No
2341,59,Female,Divorced,Marketing,Analyst,4,7032,44,12,3,2,2,3,1,43,Yes,7,51,16,3,1,4,2,1,Yes
5528,54,Male,Single,IT,Assistant,5,7855,78,21,13,2,2,4,3,56,No,2,51,4,4,1,1,45,1,No
6744,58,Female,Single,HR,Assistant,5,12734,83,9,2,2,2,1,4,24,No,1,45,10,1,1,2,26,2,No
4004,48,Female,Single,Marketing,Assistant,3,13775,78,8,11,9,3,1,1,61,No,3,39,13,4,2,1,35,1,Yes
1124,21,Male,Divorced,IT,Analyst,1,15447,80,7,5,7,4,2,4,84,Yes,5,43,19,2,1,1,5,2,Yes
8710,49,Male,Divorced,HR,Executive,5,11416,48,14,6,6,3,1,3,82,No,5,40,19,4,3,4,43,2,Yes
4050,48,Female,Married,HR,Analyst,3,10566,54,9,1,5,4,1,2,4,Yes,9,49,9,4,1,3,48,4,Yes
7641,57,Male,Single,Marketing,Assistant,2,11127,93,12,4,5,4,1,2,98,No,2,36,13,1,1,4,48,4,No
766,43,Male,Single,HR,Assistant,3,5799,18,13,11,1,2,3,3,16,Yes,6,35,4,3,4,2,18,4,No
2345,30,Female,Married,Sales,Manager,5,5069,36,24,8,1,2,4,1,82,No,4,30,19,1,2,1,1,1,No
4072,35,Female,Single,Finance,Analyst,4,16379,41,11,14,1,3,4,2,77,No,3,42,19,1,2,3,36,4,No
7217,21,Male,Single,Sales,Analyst,2,12780,69,15,13,5,1,3,4,64,No,2,53,10,2,4,4,43,2,No
4217,25,Male,Divorced,Sales,Manager,5,3367,71,28,6,6,4,2,2,44,No,5,58,10,3,2,1,27,3,No
7953,24,Female,Divorced,Sales,Manager,4,4075,96,16,6,4,4,2,4,56,No,2,32,16,1,1,1,3,2,No
5971,33,Male,Divorced,IT,Analyst,3,4912,73,25,10,2,4,5,3,28,Yes,8,55,3,4,3,4,49,1,No
3351,40,Female,Single,HR,Manager,4,13180,21,11,11,2,2,4,3,27,No,1,39,0,2,2,3,11,4,No
4696,22,Female,Single,HR,Analyst,5,9892,94,1,1,0,2,3,3,85,Yes,8,49,9,4,2,4,15,1,Yes
3400,55,Female,Married,Sales,Manager,4,17794,22,23,13,2,4,2,1,47,No,2,43,3,3,2,3,29,4,No
4082,48,Male,Divorced,IT,Analyst,2,12472,27,5,13,1,3,3,1,49,No,5,39,12,2,2,3,46,1,No
9150,28,Male,Married,Marketing,Analyst,1,6713,77,11,5,8,2,2,3,44,Yes,6,50,11,1,1,1,36,1,No
1225,59,Male,Divorced,Finance,Manager,4,8382,24,11,7,7,4,2,1,54,Yes,4,51,7,2,3,4,20,3,No
6293,43,Male,Married,HR,Analyst,5,12647,80,27,3,3,1,1,4,28,No,2,45,11,1,2,4,12,2,No
3123,36,Female,Married,HR,Manager,1,14727,83,3,3,3,3,4,4,27,No,2,31,12,2,1,4,21,2,No
511,35,Female,Single,IT,Analyst,5,18754,95,15,5,1,1,2,3,47,No,8,41,14,1,3,4,38,2,Yes
5795,34,Female,Single,Sales,Manager,5,16759,41,21,13,0,3,5,1,49,Yes,8,34,3,1,2,4,33,3,No
8182,41,Male,Divorced,HR,Assistant,3,16191,20,7,3,2,2,3,1,53,No,2,35,1,1,2,1,6,2,No
9418,27,Male,Divorced,Marketing,Executive,4,19471,78,8,14,1,2,2,4,40,No,5,35,18,1,4,2,12,3,Yes
97,27,Male,Divorced,Sales,Executive,4,13090,31,12,10,8,3,4,1,93,No,3,45,19,4,2,3,35,4,No
6682,29,Female,Married,HR,Manager,2,4643,37,6,6,9,4,1,4,63,No,1,37,4,2,1,3,34,3,No
1513,48,Male,Divorced,Finance,Manager,3,6268,99,18,6,8,1,1,3,17,Yes,5,52,19,1,2,3,21,1,Yes
8792,31,Male,Divorced,Marketing,Executive,5,15108,41,26,1,2,2,1,4,96,No,5,42,15,2,3,2,13,1,No
120,28,Female,Married,Sales,Executive,5,17067,88,1,1,5,2,2,2,87,No,5,50,5,2,2,1,33,3,No
7792,38,Female,Married,Finance,Assistant,2,16665,90,6,1,2,2,5,3,11,Yes,2,43,3,4,4,2,21,3,No
6518,22,Male,Single,Sales,Manager,3,12688,35,7,10,5,2,5,4,32,Yes,7,48,1,4,2,2,27,2,No
34,40,Female,Divorced,Marketing,Manager,1,13665,45,27,9,6,4,3,3,45,No,1,56,4,1,4,1,17,3,No
7888,29,Male,Divorced,Marketing,Assistant,5,11008,16,26,4,0,3,3,2,30,Yes,5,44,14,2,2,2,43,3,No
6831,26,Male,Married,Sales,Analyst,3,6962,40,29,8,8,2,1,1,9,No,6,37,17,1,2,3,37,3,Yes
5422,38,Male,Single,HR,Assistant,2,3743,64,26,11,4,3,1,4,84,No,3,40,10,2,3,4,46,2,Yes
1069,47,Male,Divorced,Marketing,Manager,1,19209,55,1,1,9,1,4,3,1,No,6,59,3,3,4,2,45,2,No
1348,44,Female,Divorced,Marketing,Analyst,4,8220,38,19,2,7,3,4,2,9,Yes,5,51,0,1,2,4,9,1,Yes
4748,57,Male,Married,HR,Manager,4,8993,83,8,8,2,4,2,3,65,No,8,55,15,2,1,1,27,3,No
6006,35,Female,Divorced,Finance,Executive,2,15647,54,4,4,8,1,2,4,39,No,2,31,11,3,1,4,16,2,No
6040,52,Male,Single,Marketing,Analyst,1,15457,40,25,12,6,4,3,4,5,No,7,34,8,2,1,4,16,2,No
3818,43,Female,Single,IT,Assistant,2,4610,82,19,13,9,3,3,1,46,Yes,4,31,19,2,4,3,17,1,No
8447,27,Male,Single,IT,Analyst,4,10092,71,2,7,1,3,2,4,30,No,4,38,1,3,1,1,19,3,No
5270,51,Female,Married,Sales,Manager,5,5580,77,9,4,2,2,1,2,76,Yes,4,32,13,3,3,1,25,1,No
6898,24,Male,Single,Marketing,Manager,5,19152,62,26,2,6,3,3,1,75,Yes,9,48,6,3,4,1,44,2,No
5310,53,Male,Divorced,IT,Manager,2,14396,61,22,10,4,2,2,1,43,No,6,58,15,4,1,2,20,4,No
32,56,Male,Married,IT,Analyst,3,15169,31,28,5,8,1,4,4,40,No,1,34,4,1,3,4,23,3,Yes
5675,58,Male,Divorced,Sales,Analyst,3,15961,40,1,6,4,3,2,1,86,No,6,39,0,3,3,2,31,4,No
4387,27,Female,Divorced,Marketing,Executive,2,9820,36,27,9,0,4,1,4,3,No,4,33,15,1,3,3,31,2,Yes
30,34,Female,Divorced,IT,Executive,5,16985,28,2,14,1,1,3,1,76,No,6,42,9,2,2,3,14,3,No
4203,39,Male,Divorced,Finance,Assistant,1,7786,32,18,14,7,3,2,2,0,No,1,48,15,4,1,2,28,1,Yes
7508,26,Male,Single,Marketing,Manager,1,3279,44,27,6,3,1,2,1,36,No,8,46,19,2,4,4,27,1,No
736,37,Female,Married,Marketing,Manager,2,12857,95,26,13,7,3,5,3,13,No,7,50,10,2,4,4,32,1,Yes
2068,53,Male,Single,Marketing,Executive,1,10996,25,21,14,3,3,5,1,4,No,6,49,5,4,3,4,46,4,No
107,46,Male,Married,Finance,Analyst,1,16966,52,11,10,8,1,5,4,73,No,6,37,17,4,4,4,34,2,No
9645,23,Female,Divorced,IT,Manager,4,15641,83,20,2,1,4,5,3,2,No,8,43,1,4,4,2,13,3,No
8895,40,Male,Divorced,Finance,Executive,5,9905,18,13,10,6,2,5,3,69,No,5,59,2,2,3,2,1,4,No
8021,48,Male,Divorced,IT,Executive,3,6185,97,2,4,0,1,4,3,31,Yes,6,55,4,2,4,2,24,4,No
2233,36,Female,Married,Marketing,Executive,3,15817,71,9,8,2,3,5,1,11,No,4,39,11,3,1,1,48,4,Yes
994,24,Female,Married,HR,Assistant,3,4789,88,9,3,6,4,2,4,89,Yes,7,45,1,1,4,1,6,2,No
9413,52,Male,Single,IT,Executive,2,17287,66,2,9,2,1,4,1,38,Yes,6,34,17,3,1,4,40,1,No
7059,41,Female,Divorced,Sales,Executive,2,5014,74,28,5,3,4,3,3,87,No,1,52,4,1,1,2,45,3,No
6790,54,Female,Single,Sales,Executive,4,17945,21,24,9,2,4,2,4,72,Yes,4,32,3,1,2,4,47,4,No
361,51,Male,Single,Finance,Assistant,4,3376,33,14,4,3,4,1,2,4,No,1,54,17,4,2,3,30,2,No
305,51,Female,Single,Sales,Analyst,3,5702,20,1,1,5,2,4,3,53,Yes,7,49,3,4,1,1,1,3,No
2628,55,Male,Divorced,Sales,Manager,5,9304,96,16,9,3,2,3,1,42,No,4,55,13,2,1,3,15,2,No
8966,31,Female,Divorced,Finance,Assistant,4,13186,67,21,11,4,1,2,4,87,Yes,9,50,7,2,4,2,34,4,No
4514,32,Female,Divorced,Sales,Executive,1,6174,69,4,1,9,1,3,1,52,No,6,51,4,4,4,2,6,3,Yes
5911,31,Male,Married,HR,Manager,1,16553,71,9,8,7,4,5,1,64,Yes,9,40,4,1,1,4,10,3,No
8314,40,Male,Single,IT,Assistant,1,18486,47,21,4,0,4,5,4,5,Yes,7,46,0,2,3,2,49,2,Yes
3101,45,Male,Single,Marketing,Assistant,1,18838,93,19,3,4,3,2,3,31,No,4,57,14,3,3,1,11,3,No
5704,23,Male,Divorced,Marketing,Assistant,4,3421,96,11,1,3,1,2,4,70,No,1,51,18,2,2,3,47,2,Yes
3899,52,Female,Single,Sales,Assistant,3,18946,96,27,2,4,2,2,4,36,No,5,48,0,4,1,1,15,1,No
5441,27,Female,Divorced,IT,Manager,4,7311,94,17,8,9,4,5,3,72,No,6,37,4,2,2,4,31,3,No
7931,48,Male,Married,Finance,Assistant,3,17637,95,4,12,8,2,2,2,83,Yes,7,44,14,1,3,3,43,4,Yes
622,29,Female,Single,IT,Manager,2,15609,45,17,2,2,1,2,4,20,Yes,9,42,19,1,2,2,28,2,No
7236,56,Female,Divorced,Finance,Analyst,1,13315,66,28,6,4,4,2,2,71,Yes,5,54,11,4,4,1,28,4,No
2499,43,Female,Single,Finance,Executive,5,15367,31,1,14,3,1,5,3,30,Yes,1,43,0,2,4,4,20,3,No
714,21,Male,Divorced,IT,Analyst,1,12020,92,4,8,8,4,4,2,75,No,5,33,8,4,3,2,48,3,No
8404,29,Male,Married,Finance,Assistant,4,19402,44,1,1,5,2,5,1,70,Yes,6,36,14,1,3,3,12,3,Yes
2856,27,Female,Single,Sales,Manager,3,6512,28,19,12,3,2,2,2,66,Yes,7,37,15,1,1,1,8,2,No
4270,38,Female,Single,Finance,Executive,2,11027,58,25,12,2,4,4,1,18,Yes,8,54,8,3,2,3,6,4,No
2909,24,Female,Single,HR,Analyst,5,3915,67,17,11,4,3,5,4,73,Yes,2,51,19,2,1,3,49,1,No
8081,56,Male,Single,HR,Assistant,1,6650,73,1,1,0,2,2,2,85,Yes,3,55,18,1,2,4,31,3,No
4517,52,Female,Married,IT,Executive,1,19129,82,2,12,2,2,3,2,51,Yes,5,51,18,4,4,2,44,1,No
1262,26,Male,Divorced,Marketing,Executive,4,4565,48,18,13,6,2,1,1,21,Yes,2,48,2,3,2,1,7,4,No
3161,56,Female,Single,Finance,Manager,5,7917,15,17,12,9,2,5,3,65,Yes,8,47,19,1,4,2,10,2,No
971,45,Male,Divorced,Finance,Manager,5,13931,63,6,4,4,1,4,4,19,Yes,4,57,12,1,1,4,49,4,No
3913,38,Male,Divorced,Marketing,Manager,2,18324,92,25,5,2,4,4,1,82,Yes,9,39,7,4,3,4,32,4,Yes
5199,21,Female,Single,Finance,Assistant,3,11460,16,5,3,9,3,5,4,52,Yes,1,32,16,3,1,1,21,4,No
8847,20,Female,Married,IT,Analyst,4,7974,69,13,2,4,1,4,2,90,Yes,6,38,7,1,3,3,16,1,No
260,35,Male,Single,Marketing,Analyst,3,15931,69,9,3,2,4,5,1,35,Yes,7,49,12,4,1,2,2,3,No
3791,48,Female,Single,Finance,Assistant,5,6234,64,4,12,9,4,3,1,72,No,7,40,8,1,1,2,24,3,Yes
9203,36,Male,Divorced,Sales,Executive,4,12055,45,26,9,9,2,2,3,25,Yes,9,40,14,1,1,3,7,1,Yes
488,39,Male,Single,IT,Assistant,1,19485,72,24,13,4,2,4,1,11,No,6,49,4,4,1,1,9,3,No
7908,35,Male,Single,HR,Manager,4,19848,24,8,1,3,3,3,1,62,No,3,39,17,1,2,2,35,2,No
519,48,Female,Single,Marketing,Assistant,1,18105,70,14,9,8,3,5,2,64,No,2,54,16,4,2,2,19,4,No
8343,20,Male,Divorced,IT,Assistant,5,13823,15,28,6,8,3,1,4,34,Yes,6,30,4,2,3,3,2,2,No
312,22,Female,Divorced,HR,Assistant,3,15899,92,8,6,2,1,3,1,23,No,9,33,1,1,2,1,49,3,No
3232,39,Male,Divorced,HR,Executive,4,8945,43,10,8,3,4,5,4,51,Yes,1,52,10,1,3,3,30,1,Yes
7933,46,Female,Divorced,IT,Manager,2,19379,46,28,11,0,3,4,3,28,No,4,37,5,4,3,3,12,2,No
7458,51,Female,Divorced,Finance,Assistant,1,17641,18,8,4,7,3,5,2,38,No,2,48,4,4,4,2,21,3,Yes
9784,58,Female,Divorced,Finance,Manager,2,17794,70,10,6,8,2,2,3,9,No,9,36,7,1,1,2,7,4,No
5184,42,Male,Married,Sales,Executive,3,8850,37,26,7,1,1,2,2,54,No,7,56,4,3,2,2,19,4,No
8077,26,Female,Married,Sales,Manager,5,11174,99,11,2,1,3,2,1,55,No,9,53,15,4,2,3,7,2,No
6502,59,Male,Single,Finance,Manager,1,12768,19,11,7,7,4,2,3,70,No,4,55,7,2,4,3,11,1,Yes
6791,50,Male,Divorced,HR,Executive,1,10825,24,14,10,6,2,3,2,12,No,5,34,16,2,2,2,48,4,No
